Company Name,NaicsCode
ibm,51
tata consultancy services,51
accenture,51
us army,336992
ey,5412
hewlett-packard,51
cognizant technology solutions,51
walmart,311811
microsoft,42343
at&t,517
pwc,5412
infosys,51
deloitte,5416
bank of america,52211
us navy,336992
amazon,511
apple,53221
siemens,31-33
oracle,51
nokia,517
capgemini,51
wipro technologies,51
google,511
mcdonald's corporation,7221
ericsson,51
vodafone,517
ford motor company,4413
general motors,4413
target,311811
hcl technologies,51
unilever,5322
huawei technologies,517
dell,51
honeywell,31-33
sap,42343
"ayatama energi, trisco nusantara",5414
abb,31-33
starbucks,311811
promobroker agente de seguros y de fianzas s a de c v,52
the home depot,311811
independiente,541921
schneider electric,31-33
state farm,52
my home,511
td,52211
ge,31-33
procter & gamble,5322
walgreens,311811
"keller williams realty, inc.",522292
"lowe's companies, inc.",311811
united states marine corps,336992
dell emc,51
tech mahindra,51
verizon wireless,517
bnp paribas,52211
sodexo,541513
deutsche bank,52311
tencent,511
verizon,51
l'oréal,44612
kpmg,5412
orange,517
linkedin,511
facebook,511
fca fiat chrysler automobiles,4413
adp,541612
roche,541711
samsung electronics,31-33
macy's,311811
thomson reuters,51
avon,44612
cgi,51
atos,51
pcs informatica,51
csc,51
banco santander,52211
scotiabank,52211
dxc technology,51
allstate,52
credit suisse,52211
telefónica,517
axa,52
standard chartered bank,52211
xerox,51
cbre,522292
goldman sachs,52311
icici bank,52211
t-mobile,517
royal bank of scotland,52211
nike,33992
hdfc bank,52211
best buy,311811
genpact,51
jll,531
rbc,52211
u.s. bank,52211
larsen & toubro,212321
continental,4413
sprint,517
carrefour,44511
bt,517
h&m,311811
anz,52211
farmers insurance,52
aecom,237
united states department of defense,336992
metlife,52
ikea group,311811
mary kay inc.,44612
liberty mutual insurance,52
caterpillar inc.,333
jacobs,212321
société générale,52211
hp,51
eskom,22
uber,511
kroger,311811
thermo fisher scientific,5417
renault,4413
aig,52
state bank of india,52211
mynet,511
itaú unibanco,52211
h&r block,311811
costco wholesale,311811
ministry of education,5414
tesco plc,311811
salesforce,511
prefeitura municipal,51
forza silicon,541612
army national guard,336992
nordstrom,311811
particular,42343
travelers,52
the walt disney company,71
nielsen,51
lg electronics,53221
valeo,4413
eaton,31-33
aflac,52
united nations,928
flextronics,31-33
subway,7221
booz allen hamilton,5416
telstra,517
qualcomm,33422
john deere,333
aetna,52
enterprise rent-a-car,4413
cibc,52211
adidas,33992
fluor corporation,212321
sopra steria,51
bmw group,4413
sears holdings corporation,311811
kohl's department stores,311811
humana,52
axis bank,52211
coldwell banker residential brokerage,522292
fujitsu,51
bbva,52211
banco do brasil,52211
fis,51
foxconn,31-33
epam systems,42343
national australia bank,52211
jcpenney,311811
bradesco,52211
nationwide insurance,52
nissan motor corporation,4413
amazon web services,51
philip morris international,11191
cummins inc.,4413
centurylink,517
psa peugeot citroën,4413
amgen,541711
abn amro bank n.v.,52211
trw,4413
ncr corporation,51
amdocs,517
free lance,511
jaguar land rover,4413
autônoma,541612
wipro infotech,51
aramark,311811
samsung,53221
cerner corporation,51
mckinsey & company,5416
kimberly-clark,5322
caixa economica federal,52211
"biocolloids fate and transport in environmental systems, network biomet",311811
agilent technologies,541711
upwork,511
whole foods market,44511
comcast cable,517
indra,51
mid managing international diffusion,5416
british american tobacco,11191
nordea,52211
publix super markets,311811
youtube,511
u.s. department of state,928
lic,52
bsnl,517
cushman & wakefield,531
ing,52211
rodan + fields,5322
rr donnelley,323
vmware,42343
michelin,4413
sakri it solutions pvt ltd,51
rabobank,52211
amway,5322
saic,51
bureau veritas,54162
faurecia,4413
sas,42343
mahindra satyam,51
coldwell banker,522292
orange business services,51
monsanto company,1111
time warner cable,517
adobe,42343
bell,517
unicredit,52211
mphasis,51
randstad,541612
progressive insurance,52
"anthem, inc.",52
syngenta,1111
magna international,4413
walt disney world,71
auchan,311811
no-company,51
inditex,311811
toyota,4413
arcadis,237
motorola,53221
chubb,52
mercer,541612
airtel,517
sony,71
genentech,541711
delphi,4413
leroy merlin,311811
sct ltd co.,31-33
air liquide,22
te connectivity,31-33
duke energy corporation,22
teksystems,51
insidesecure,42343
tata motors,4413
century 21®,522292
colgate palmolive,5322
tesla,4413
u.s. coast guard,336992
charter communications,517
re/max,522292
jabil,31-33
skanska,212321
l&t infotech,51
pizza hut,7221
altran,51
the boston consulting group (bcg),5416
l-3 communications,5416
intesa sanpaolo,52211
daimler ag,4413
lear corporation,4413
rb,5322
accenture in india,51
sainsbury's,311811
fiserv,51
rogers communications,517
generali,52
sephora,311811
telenor,517
"nbcuniversal media, llc",71
ministerie van defensie,336992
independent,511
standard chartered bank,52211
telecom italia,517
geico,52
pôle emploi,541612
ch2m hill,237
kellogg company,5322
t-systems,51
anheuser-busch inbev,5322
whirlpool corporation,5322
university of southern california,5417
desjardins,52211
telus,517
rite aid,311811
leidos,51
henkel,5322
asda,311811
atlas copco,333
marks and spencer,311811
us army corps of engineers,336992
united states army reserve,336992
regions bank,52211
zurich insurance company ltd,52
grant thornton llp,5412
kotak mahindra bank,52211
paypal,511
the goodyear tire & rubber company,4413
wells fargo home mortgage,52211
symantec,42343
sam's club,311811
geen,51
ing,52211
westpac,52211
electrolux,5322
claro,517
pivate institute,51
inps,51
general mills,5322
aim,311811
unisys,51
burger king corporation,7221
cnh industrial,333
american family insurance,52
visa,51
dimension data,51
national grid,22
fnb south africa,52211
mapfre,52
general dynamics information technology,51
etisalat,517
reliance communications,517
atkins,5414
pt bank mandiri (persero) tbk.,52211
marsh,52
cintas,541513
zte,517
veolia,54162
ebay,511
procter & gamble,5322
autonomo,541921
victoria's secret,311811
mastercard,51
volvo car group,4413
stantec,5414
everis,5416
scania,4413
waste management,54162
syntel,51
cis,51
bechtel corporation,212321
idol image consulting,5416
kpn,517
pacific gas and electric company,22
home depot,212321
me,42343
ingram micro,51
me stesso,71
dollar general,311811
arup,5414
british army,336992
panera bread,7221
idea cellular ltd,517
kpmg uk,5412
citizens bank,52211
bnp paribas fortis,52211
decathlon france,33992
natura,44612
"expedia, inc.",511
hcl infosystems ltd,51
"kbr, inc.",212321
arbonne international llc,5322
undp,928
no company,8134
infor,42343
bank in nigeria,52211
ucsf,5417
domino's pizza,7221
state farm agent,52
gartner,51
university college london,5417
ca technologies,42343
the estée lauder companies inc.,44612
department of national defence,336992
dbs bank,52211
ricoh americas corporation,51
telefônica brasil,517
mtn,517
snc-lavalin,212321
sanmina,31-33
independiente,71
mahindra & mahindra,4413
atento,517
rsm us llp,5412
verizon business,51
shire,541711
us air force reserve,336992
enel,22
national institutes of health,5417
home instead senior care,6241
lendlease,212321
cnrs,5417
tieto,51
sage,42343
subito band,451
meb,522292
capgemini consulting,5416
paychex,541612
nil,522292
gap inc.,311811
volkswagen ag,4413
university,5417
colliers international,531
flipkart,511
urs corporation,237
motorola solutions,51
petsmart,311811
netapp,51
avaya,517
odebrecht,212321
yok,511
sou autonomo,54143
aia,52
not applicable,51
jti (japan tobacco international),11191
"the tjx companies, inc.",311811
booking.com,511
crédit agricole,52211
mott macdonald,237
caci international inc,51
saudi telecom company,517
amadeus it group,51
indusind bank,52211
sogeti,51
national bank of canada,52211
independent  contractor,5414
elektrohm,31-33
ust global,51
deloitte consulting,5416
ntt data services,51
taco bell,7221
igate,51
"stanley black & decker, inc.",5322
arthur j. gallagher & co.,52
ooo,5411
pra health sciences,5417
meijer,311811
autonomo,4413
coles,311811
casa,51
us navy reserve,336992
shoppers drug mart,311811
heb,311811
parsons corporation,237
keybank,52211
experian,51
dominion,22
bcln golf limited,33992
university of oxford,5417
mindtree,51
oriflame,44612
ibest,511
nerium international,44612
vodacom,517
red hat,42343
electronic arts (ea),71
earthlink,51
"ross stores, inc.",311811
ingersoll rand,31-33
pitney bowes,51
china mobile,517
imperial college london,5417
virtusa,42343
swiss re,52
coty,44612
teradata,51
the university of manchester,5417
marinha do brasil,336992
baidu inc.,511
bbva compass,52211
ferguson enterprises,42
boots uk,311811
tata communications,517
intuit,42343
cencosud s.a.,311811
gap inc./old navy,311811
dick's sporting goods,311811
ulta beauty,311811
natixis,52211
ramboll,237
university of cambridge,5417
american eagle outfitters,311811
banamex,52211
huntington national bank,52211
bmo harris bank,52211
bain & company,5416
canadian armed forces | forces armées canadiennes,336992
alibaba.com,511
lic of india,52
e.on,22
yahoo,511
